t,m,j,u,Price
2018-19,Dire Dawa,Hops (gesho),Kg,12.49999981
2018-19,Dire Dawa,Horsebeans,Kg,32.44953883
2018-19,Dire Dawa,Injera,Kg,28.36604994
2018-19,Dire Dawa,Kariya,Kg,20.70889268
2018-19,Dire Dawa,Kocho,Kg,12
2018-19,Dire Dawa,Leafy Greens,Kg,14.74144418
2018-19,Dire Dawa,Lentils,Kg,63.95839088
2018-19,Dire Dawa,Linseed,Kg,59.74170045
2018-19,Dire Dawa,Maize,Kg,18.31463017
2018-19,Dire Dawa,Mango,Kg,26.70031494
2018-19,Dire Dawa,Milk,Kg,74.51510234
2018-19,Dire Dawa,Moringa/Shiferaw/Halloka,Kg,999.9999525
2018-19,Dire Dawa,Niger Seed,Kg,39.9999981
2018-19,Dire Dawa,Oats,Kg,42.2602358
2018-19,Dire Dawa,Oils,Kg,48.41245876
2018-19,Dire Dawa,Onion,Kg,30.40076446
2018-19,Dire Dawa,Orange,Kg,39.3559579
2018-19,Dire Dawa,Other cereal,Kg,150
2018-19,Dire Dawa,Other fruit,Kg,40
2018-19,Dire Dawa,Other prepared food,Kg,49.99999801
2018-19,Dire Dawa,Papaya,Kg,44.22697434
2018-19,Dire Dawa,Pasta/Macaroni,Kg,32.77927692
2018-19,Dire Dawa,Potato,Kg,20.99798124
2018-19,Dire Dawa,Poultry,Kg,722.8681916
2018-19,Dire Dawa,Rice,Kg,28.66482705
2018-19,Dire Dawa,Salt,Kg,25.1410408
2018-19,Dire Dawa,Sesame,Kg,44.35369547
2018-19,Dire Dawa,Shiro,Kg,54.10654396
2018-19,Dire Dawa,Soda,Kg,65.43960307
2018-19,Dire Dawa,Sorghum,Kg,20.51320945
2018-19,Dire Dawa,Sugar,Kg,30.06059984
2018-19,Dire Dawa,Sun Flower,Kg,31.99999848
2018-19,Dire Dawa,Sweet potato,Kg,23.22261207
2018-19,Dire Dawa,Tea,Kg,68.97525625
2018-19,Dire Dawa,Teff,Kg,37.46159294
2018-19,Dire Dawa,Tella,Kg,11.02857139
2018-19,Dire Dawa,Tomato,Kg,23.62196283
2018-19,Dire Dawa,Vetch,Kg,15
2018-19,Dire Dawa,Wheat,Kg,24.11109454
2018-19,Gambela,Avocado,Kg,13.10170345
2018-19,Gambela,Banana,Kg,34.36271219
2018-19,Gambela,Barley,Kg,30.40892621
2018-19,Gambela,Beef,Kg,164.5631383
2018-19,Gambela,Beer,Kg,344.4696833
2018-19,Gambela,Beetroot,Kg,64.50181284
2018-19,Gambela,Berbere,Kg,117.6325506
2018-19,Gambela,Bread/biscuit,Kg,14.6873116
2018-19,Gambela,Bula,Kg,40
2018-19,Gambela,Butter/ghee,Kg,269.1494184
2018-19,Gambela,Carrot,Kg,52.80553615
2018-19,Gambela,Cassava,Kg,9.803921752
2018-19,Gambela,Chat/Kat,Kg,146.1964338
2018-19,Gambela,Cheese,Kg,72.95522264
2018-19,Gambela,Chick Pea,Kg,42.40936914
2018-19,Gambela,Coffee,Kg,96.98765868
2018-19,Gambela,Eggs,Kg,18.26091614
2018-19,Gambela,Fenugreek,Kg,53.31385011
2018-19,Gambela,Field Pea,Kg,28.58557484
2018-19,Gambela,Fish,Kg,153.7672795
2018-19,Gambela,Garlic,Kg,94.88827514
2018-19,Gambela,Goat & mutton meat,Kg,267.4330298
2018-19,Gambela,Godere,Kg,13.93801192
2018-19,Gambela,Ground nuts,Kg,84.99031401
2018-19,Gambela,Haricot Beans,Kg,26.6242873
2018-19,Gambela,Honey,Kg,406.9266897
2018-19,Gambela,Hops (gesho),Kg,36.24144694
2018-19,Gambela,Horsebeans,Kg,36.75533866
2018-19,Gambela,Injera,Kg,21.33419462
2018-19,Gambela,Kariya,Kg,27.19943604
2018-19,Gambela,Kocho,Kg,26.5371223
2018-19,Gambela,Leafy Greens,Kg,13.76740213
2018-19,Gambela,Lentils,Kg,70.78451391
2018-19,Gambela,Linseed,Kg,49.99999842
2018-19,Gambela,Maize,Kg,24.58027818
2018-19,Gambela,Mango,Kg,13.56448842
2018-19,Gambela,Milk,Kg,32.42068947
2018-19,Gambela,Millet,Kg,1.062801967
2018-19,Gambela,Moringa/Shiferaw/Halloka,Kg,114.0848355
2018-19,Gambela,Mung bean,Kg,56.81818213
2018-19,Gambela,Niger Seed,Kg,60
2018-19,Gambela,Oats,Kg,41.05963939
2018-19,Gambela,Oils,Kg,76.38129954
2018-19,Gambela,Onion,Kg,26.9550511
2018-19,Gambela,Orange,Kg,20.80053626
2018-19,Gambela,Other condiments,Kg,31.92848052
2018-19,Gambela,Other prepared food,Kg,9999.999525
2018-19,Gambela,Other pulse or nut,Kg,29.4117644
2018-19,Gambela,Other tuber or stem,Kg,24.99999963
2018-19,Gambela,Other vegetable,Kg,8.987143928
2018-19,Gambela,Pasta/Macaroni,Kg,49.28976042
2018-19,Gambela,Potato,Kg,18.77805943
2018-19,Gambela,Poultry,Kg,686.0949416
2018-19,Gambela,Rice,Kg,34.2327059
2018-19,Gambela,Salt,Kg,36.67469253
2018-19,Gambela,Sesame,Kg,89.81931442
2018-19,Gambela,Shiro,Kg,56.45133991
2018-19,Gambela,Soda,Kg,42.1571065
2018-19,Gambela,Sorghum,Kg,11.60052753
2018-19,Gambela,Sugar,Kg,47.51628913
2018-19,Gambela,Sun Flower,Kg,40.20833345
2018-19,Gambela,Sweet potato,Kg,7.491201447
2018-19,Gambela,Tea,Kg,41.91630492
2018-19,Gambela,Teff,Kg,30.12498524
2018-19,Gambela,Tella,Kg,6.194766121
2018-19,Gambela,Tomato,Kg,21.67282848
2018-19,Gambela,Vetch,Kg,26.75693973
2018-19,Gambela,Wheat,Kg,20.15189139
2018-19,Harari,Avocado,Kg,26.58205095
2018-19,Harari,Banana,Kg,22.97637616
2018-19,Harari,Barley,Kg,30.29357225
2018-19,Harari,Beef,Kg,318.797466
2018-19,Harari,Beer,Kg,58.52153636
2018-19,Harari,Beetroot,Kg,16.93605133
2018-19,Harari,Berbere,Kg,93.2510846
2018-19,Harari,Bread/biscuit,Kg,15.97356559
2018-19,Harari,Bula,Kg,65.03698246
2018-19,Harari,Butter/ghee,Kg,292.7443748
2018-19,Harari,Carrot,Kg,20.63566806
2018-19,Harari,Chat/Kat,Kg,263.1824273
2018-19,Harari,Cheese,Kg,113.999996
2018-19,Harari,Chick Pea,Kg,38.24022341
2018-19,Harari,Coffee,Kg,109.35479
2018-19,Harari,Eggs,Kg,29.04738515
2018-19,Harari,Fenugreek,Kg,77.30397814
2018-19,Harari,Field Pea,Kg,36.44502895
2018-19,Harari,Garlic,Kg,509.562518
2018-19,Harari,Goat & mutton meat,Kg,314.5224333
2018-19,Harari,Ground nuts,Kg,65.51273774
2018-19,Harari,Haricot Beans,Kg,17.94202065
2018-19,Harari,Honey,Kg,247.1505618
2018-19,Harari,Hops (gesho),Kg,39.37499967
2018-19,Harari,Horsebeans,Kg,31.44821617
2018-19,Harari,Injera,Kg,33.85441945
