Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2015","2015","1000 t","162","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2511","Wheat and products","2015","2015","1000 t","218","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2511","Wheat and products","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5154","Other uses (non-food)","S2511","Wheat and products","2015","2015","1000 t","819","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2511","Wheat and products","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2511","Wheat and products","2015","2015","1000 t","4759","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2015","2015","kg/cap","46.44","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","395.18","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2511","Wheat and products","2015","2015","million Kcal","14780484.07","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2015","2015","g/cap/d","12.49","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2511","Wheat and products","2015","2015","t","467179.74","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2015","2015","g/cap/d","1.84","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2511","Wheat and products","2015","2015","t","69004.17","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2010","2010","1000 t","90","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2807","Rice and products","2010","2010","1000 t","69","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2807","Rice and products","2010","2010","1000 t","-46","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2807","Rice and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2807","Rice and products","2010","2010","1000 t","205","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2807","Rice and products","2010","2010","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2807","Rice and products","2010","2010","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2807","Rice and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2807","Rice and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2807","Rice and products","2010","2010","1000 t","200","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2807","Rice and products","2010","2010","kg/cap","2.24","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2807","Rice and products","2010","2010","kcal/cap/d","14","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2807","Rice and products","2010","2010","million Kcal","455862.55","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2010","2010","g/cap/d","0.29","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2807","Rice and products","2010","2010","t","9296.17","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2010","2010","g/cap/d","0.04","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2807","Rice and products","2010","2010","t","1241.5","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2011","2011","1000 t","89","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2807","Rice and products","2011","2011","1000 t","109","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2807","Rice and products","2011","2011","1000 t","-35","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2807","Rice and products","2011","2011","1000 t","0","I","Imputed value",""
